rank,date,ticker,name,isin,market,trade_republic_status,open,close,high,low,body,body_pct,volume
3,2026-06-11,MU,Micron Technology,US5951121038,USA,Disponible,904.37,995.87,996.77,895.5,91.5,10.12,58826500
4,2026-06-11,PUM.DE,Puma,,Germany,Disponible,27.0,28.02,28.12,26.98,1.02,3.78,212649
4,2026-06-11,CCL,Carnival,,USA,Disponible,25.67,28.12,28.17,25.65,2.45,9.54,29956000
5,2026-06-11,MONC.MI,Moncler,,Italy,Disponible,55.12,57.14,57.16,55.02,2.02,3.66,316187
5,2026-06-11,SMCI,Super Micro Computer,US86800U1043,USA,Disponible,29.3,31.97,32.05,28.61,2.67,9.11,250530400
6,2026-06-11,NOVN.SW,Novartis,CH0012005267,Switzerland,Disponible,118.02,121.82,122.16,118.02,3.8,3.22,744672
6,2026-06-11,KLAC,KLA,US4824801009,USA,Disponible,221.337,241.164,243.129,220.628,19.827,8.96,17380920
7,2026-06-11,MC.PA,LVMH,FR0000121014,France,Disponible,485.75,501.2,508.6,484.0,15.45,3.18,335634
7,2026-06-11,LUV,Southwest Airlines,,USA,Disponible,40.83,44.29,44.41,40.83,3.46,8.47,6343900
8,2026-06-11,ACX.MC,Acerinox,,Spain,Disponible,15.85,16.34,16.35,15.85,0.49,3.09,262886
8,2026-06-11,LRCX,Lam Research,US5128071082,USA,Disponible,336.64,362.52,364.81,336.2,25.88,7.69,14962100
9,2026-06-11,KER.PA,Kering,,France,Disponible,252.2,259.8,261.05,249.75,7.6,3.01,122853
9,2026-06-11,CRWD,CrowdStrike,US22788C1053,USA,Disponible,645.28,691.53,696.43,641.0,46.25,7.17,3528900
10,2026-06-11,DAL,Delta Air Lines,,USA,Disponible,76.51,81.83,81.98,76.4,5.32,6.95,7967900
1,2026-06-10,GLEN.L,Glencore,,United Kingdom,Disponible,483.9,559.2,568.8,483.9,75.3,15.56,7318953
1,2026-06-10,MDB,MongoDB,,USA,Disponible,334.61,348.28,359.5,331.56,13.67,4.09,1501200
10,2026-06-10,DOW,Dow,,USA,Disponible,33.25,34.24,34.465,32.88,0.99,2.98,13012700
3,2026-06-09,SY1.DE,Symrise,,Germany,Disponible,77.04,80.04,80.08,77.0,3.0,3.89,116636
6,2026-06-09,BPE.MI,BPER Banca,,Italy,Disponible,12.346,12.812,12.832,12.344,0.466,3.77,10549569
7,2026-06-09,GIVN.SW,Givaudan,,Switzerland,Disponible,3001.0,3112.0,3113.0,2994.0,111.0,3.7,17255
2,2026-06-08,FICO,Fair Isaac,,USA,Disponible,1144.02,1207.34,1226.59,1124.46,63.3199,5.53,277200
3,2026-06-08,CNC,Centene,,USA,Disponible,62.32,65.03,65.8,62.0,2.71,4.35,7024800
4,2026-06-08,KHC,Kraft Heinz,,USA,Disponible,22.48,23.35,23.4,22.42,0.87,3.87,15063300
5,2026-06-08,KLAC,KLA,US4824801009,USA,Disponible,2030.0,2108.0601,2135.21,2003.5601,78.0601,3.85,1165900
6,2026-06-08,COIN,Coinbase,US19260Q1076,USA,Disponible,156.61,162.11,164.28,154.98,5.5,3.51,8827800
7,2026-06-08,INTU,Intuit,US4612021034,USA,Disponible,295.2,305.51,306.04,291.24,10.31,3.49,5587400
8,2026-06-08,AMAT,Applied Materials,US0382221051,USA,Disponible,476.0,492.17,497.71,471.12,16.17,3.4,9726900
9,2026-06-08,TSLA,Tesla,US88160R1014,USA,Disponible,396.33,408.95,412.94,394.72,12.62,3.18,50328800
10,2026-06-08,PINS,Pinterest,,USA,Disponible,21.32,21.99,22.055,20.583,0.67,3.14,28861900
1,2026-06-05,RIO.L,Rio Tinto,,United Kingdom,Disponible,7063.0,7760.0,7814.0,7063.0,697.0,9.87,317181
1,2026-06-05,KMB,Kimberly-Clark,,USA,Disponible,94.0,99.04,99.62,93.95,5.04,5.36,6360100
2,2026-06-05,ZAL.DE,Zalando,,Germany,Disponible,23.68,24.64,24.86,23.59,0.96,4.05,1620253
3,2026-06-05,LULU,Lululemon Athletica,,USA,Disponible,110.43,114.23,116.76,109.36,3.8,3.44,16178400
4,2026-06-05,COO,Cooper Companies,,USA,Disponible,65.24,67.34,67.61,65.0,2.1,3.22,9087400
5,2026-06-05,BEI.DE,Beiersdorf,,Germany,Disponible,67.82,70.0,70.08,67.7,2.18,3.21,586789
6,2026-06-05,PG,Procter & Gamble,,USA,Disponible,142.22,146.54,148.23,141.8,4.32,3.04,10958700
7,2026-06-05,CL,Colgate-Palmolive,,USA,Disponible,85.97,88.58,89.59,85.7,2.61,3.04,5961600
8,2026-06-05,PGR,Progressive,,USA,Disponible,198.28,204.02,204.51,197.0,5.74,2.89,2743600
9,2026-06-05,IDR.MC,Indra Sistemas,,Spain,Disponible,53.9,55.44,55.9,53.68,1.54,2.86,677251
10,2026-06-05,TRV,Travelers,,USA,Disponible,295.71,303.25,303.89,295.43,7.54,2.55,1151500
2,2026-06-04,PIRC.MI,Pirelli,,Italy,Disponible,5.62,6.045,6.205,5.31,0.425,7.56,2920940
4,2026-06-04,AXON,Axon Enterprise,,USA,Disponible,485.0,513.2,515.8,477.25,28.2,5.81,1286500
5,2026-06-04,CAP.PA,Capgemini,,France,Disponible,98.58,104.0,104.8,98.46,5.42,5.5,215192
5,2026-06-04,BX,Blackstone,,USA,Disponible,112.25,118.55,119.66,111.78,6.3,5.61,8021400
6,2026-06-04,DSY.PA,Dassault Systemes,,France,Disponible,19.01,19.885,20.05,19.01,0.875,4.6,529131
7,2026-06-04,ORCL,Oracle,US68389X1054,USA,Disponible,227.0,236.34,238.95,224.0,9.34,4.11,19926600
8,2026-06-04,WKL.AS,Wolters Kluwer,,Netherlands,Disponible,60.26,62.78,63.3,60.12,2.52,4.18,397376
8,2026-06-04,HUM,Humana,,USA,Disponible,336.28,349.8,351.88,333.55,13.52,4.02,1891100
10,2026-06-04,SAP.DE,SAP,DE0007164600,Germany,Disponible,156.22,162.44,163.54,156.22,6.22,3.98,894218
10,2026-06-04,STX,Seagate Technology,,USA,Disponible,891.55,925.99,941.49,885.0,34.44,3.86,2525200
1,2026-06-03,AZN.L,AstraZeneca,GB0009895292,United Kingdom,Disponible,11232.0,13088.0,13202.0,11232.0,1856.0,16.52,1732285
2,2026-06-03,MRNA,Moderna,,USA,Disponible,45.3,49.06,49.55,45.3,3.76,8.3,6934400
3,2026-06-03,RIVN,Rivian Automotive,,USA,Disponible,17.06,18.27,18.43,16.915,1.21,7.09,51857200
4,2026-06-03,CPB,Campbell Soup,,USA,Disponible,20.73,21.49,21.51,20.65,0.76,3.67,2238515
4,2026-06-03,QCOM,Qualcomm,US7475251036,USA,Disponible,235.02,250.01,255.09,233.02,14.99,6.38,19383500
5,2026-06-03,CARR,Carrier Global,,USA,Disponible,66.1,68.46,68.84,65.62,2.36,3.57,1070129
7,2026-06-03,AMAT,Applied Materials,US0382221051,USA,Disponible,487.95,504.75,508.2599,487.42,16.8,3.44,2743819
7,2026-06-03,FSLR,First Solar,,USA,Disponible,305.44,318.25,320.95,302.0,12.81,4.19,2700400
8,2026-06-03,A,Agilent Technologies,,USA,Disponible,134.22,138.66,138.66,133.7,4.44,3.31,715579
9,2026-06-03,GM,General Motors,,USA,Disponible,80.71,83.32,84.1,80.34,2.61,3.23,2495390
9,2026-06-03,FANG,Diamondback Energy,,USA,Disponible,202.48,210.59,211.69,201.51,8.11,4.01,3174200
2,2026-06-02,RR.L,Rolls-Royce Holdings,,United Kingdom,Disponible,1107.4,1281.0,1300.6,1107.4,173.6,15.68,2270743
1,2026-06-01,MDB,MongoDB,,USA,Disponible,346.0,403.88,409.0,345.5,57.88,16.73,6772100
3,2026-06-01,DELL,Dell Technologies,,USA,Disponible,426.15,465.96,469.47,426.15,39.81,9.34,20609000
4,2026-06-01,OKTA,Okta,,USA,Disponible,128.31,139.79,142.35,128.29,11.48,8.95,9791900
5,2026-06-01,SNOW,Snowflake,US8334451098,USA,Disponible,259.97,280.16,284.99,258.31,20.19,7.77,20142400
6,2026-06-01,ORCL,Oracle,US68389X1054,USA,Disponible,230.5,248.15,250.25,224.6,17.65,7.66,48093800
7,2026-06-01,IOT,Samsara,,USA,Disponible,36.06,38.55,38.77,35.625,2.49,6.91,10311700
8,2026-06-01,HPQ,HP,,USA,Disponible,27.5,29.34,29.54,27.31,1.84,6.69,41525700
9,2026-06-01,HPE,Hewlett Packard Enterprise,,USA,Disponible,44.18,47.0,47.97,43.4,2.82,6.38,109709800
10,2026-06-01,CRWD,CrowdStrike,US22788C1053,USA,Disponible,735.81,782.17,785.66,734.0,46.36,6.3,4575300
1,2026-05-29,OKTA,Okta,,USA,Disponible,107.535,123.27,124.79,106.501,15.735,14.63,17572200
2,2026-05-29,HOOD,Robinhood Markets,,USA,Disponible,85.66,94.3,94.4,84.235,8.64,10.09,64227300
3,2026-05-29,WDAY,Workday,,USA,Disponible,133.63,146.19,146.52,132.28,12.56,9.4,11214400
4,2026-05-29,IOT,Samsara,,USA,Disponible,32.04,34.99,35.195,31.94,2.95,9.21,8857200
5,2026-05-29,ORCL,Oracle,US68389X1054,USA,Disponible,209.0,225.78,226.29,208.01,16.78,8.03,40965300
6,2026-05-29,CRWD,CrowdStrike,US22788C1053,USA,Disponible,677.435,731.0,731.49,674.94,53.565,7.91,4814200
7,2026-05-29,RIVN,Rivian Automotive,,USA,Disponible,15.23,16.3,16.6,15.11,1.07,7.03,59340300
8,2026-05-29,FTNT,Fortinet,,USA,Disponible,129.59,137.97,138.11,129.0,8.38,6.47,9627800
9,2026-05-29,SNOW,Snowflake,US8334451098,USA,Disponible,240.69,255.55,256.21,239.5,14.86,6.17,19863300
10,2026-05-29,WLN.PA,Worldline,,France,Disponible,0.35,0.3726,0.3799,0.3476,0.0226,6.46,13020453
10,2026-05-29,MSTR,MicroStrategy,US5949724083,USA,Disponible,149.93,159.09,162.06,148.2,9.16,6.11,19183900
1,2026-05-28,RIO.L,Rio Tinto,,United Kingdom,Disponible,6880.0,7797.0,7878.0,6880.0,917.0,13.33,298510
1,2026-05-28,HOOD,Robinhood Markets,,USA,Disponible,74.845,84.84,84.92,73.53,9.995,13.35,43790000
2,2026-05-28,AXON,Axon Enterprise,,USA,Disponible,393.59,439.32,448.35,393.45,45.73,11.62,1725000
3,2026-05-28,FSLR,First Solar,,USA,Disponible,275.6,303.38,310.42,274.64,27.78,10.08,5596400
4,2026-05-28,LDO.MI,Leonardo,,Italy,Disponible,51.31,54.18,54.45,51.2,2.87,5.59,2121581
4,2026-05-28,U,Unity Software,,USA,Disponible,27.45,29.94,30.095,27.312,2.49,9.07,14158700
5,2026-05-28,SMCI,Super Micro Computer,US86800U1043,USA,Disponible,38.0,41.3,43.55,37.61,3.3,8.68,71832500
6,2026-05-28,IDR.MC,Indra Sistemas,,Spain,Disponible,53.0,55.32,55.94,53.0,2.32,4.38,816721
6,2026-05-28,PLTR,Palantir,US69608A1088,USA,Disponible,133.16,143.34,145.0,133.0,10.18,7.64,51670300
7,2026-05-28,SHOP,Shopify,CA82509L1076,USA,Disponible,107.185,115.03,115.25,106.96,7.845,7.32,14620100
8,2026-05-28,COIN,Coinbase,US19260Q1076,USA,Disponible,170.49,182.25,182.65,169.17,11.76,6.9,9026700
9,2026-05-28,APP,AppLovin,,USA,Disponible,562.16,599.89,606.39,560.488,37.73,6.71,5836600
1,2026-05-27,LSEG.L,London Stock Exchange Group,,United Kingdom,Disponible,7984.0,9044.0,9212.0,7984.0,1060.0,13.28,296250
2,2026-05-27,APP,AppLovin,,USA,Disponible,520.91,567.83,581.0,514.12,46.92,9.01,8266700
3,2026-05-27,PUM.DE,Puma,,Germany,Disponible,28.04,29.62,29.73,28.04,1.58,5.63,329956
3,2026-05-27,MOS,Mosaic,,USA,Disponible,22.42,23.72,23.77,22.2,1.3,5.8,9513900
4,2026-05-27,ADS.DE,Adidas,DE000A1EWWW0,Germany,Disponible,159.0,167.85,167.85,159.0,8.85,5.57,410079
5,2026-05-27,AKZA.AS,Akzo Nobel,,Netherlands,Disponible,60.5,63.26,63.34,59.98,2.76,4.56,1110744
5,2026-05-27,HPQ,HP,,USA,Disponible,24.39,25.49,25.6,23.96,1.1,4.51,34963000
6,2026-05-27,CON.DE,Continental,,Germany,Disponible,69.52,72.38,72.5,69.5,2.86,4.11,100180
7,2026-05-27,MONC.MI,Moncler,,Italy,Disponible,52.92,55.02,55.02,52.9,2.1,3.97,507676
7,2026-05-27,GM,General Motors,,USA,Disponible,80.65,84.12,84.52,80.65,3.47,4.3,10368600
8,2026-05-27,META,Meta Platforms,US30303M1027,USA,Disponible,609.4,635.26,638.5,609.0,25.86,4.24,23006900
9,2026-05-27,DTG.DE,Daimler Truck,,Germany,Disponible,41.63,43.27,43.52,41.63,1.64,3.94,222650
9,2026-05-27,MGM,MGM Resorts,,USA,Disponible,40.32,41.95,42.71,40.32,1.63,4.04,10052400
10,2026-05-27,U,Unity Software,,USA,Disponible,26.74,27.76,28.27,26.52,1.02,3.81,9411600
2,2026-05-26,MU,Micron Technology,US5951121038,USA,Disponible,820.5,895.88,916.8,820.3,75.38,9.19,75733400
8,2026-05-26,AMD,Advanced Micro Devices,US0079031078,USA,Disponible,484.74,503.89,506.96,480.23,19.15,3.95,38281400
10,2026-05-26,NXPI,NXP Semiconductors,,USA,Disponible,320.29,332.67,334.9,318.0,12.38,3.87,4618900
1,2026-05-22,HPQ,HP,,USA,Disponible,22.6,25.24,25.57,22.58,2.64,11.68,48651200
2,2026-05-22,RR.L,Rolls-Royce Holdings,,United Kingdom,Disponible,1051.2,1225.8,1230.8,1051.2,174.6001,16.61,1331552
2,2026-05-22,QCOM,Qualcomm,US7475251036,USA,Disponible,214.43,238.16,243.0,214.17,23.73,11.07,30332300
3,2026-05-22,DELL,Dell Technologies,,USA,Disponible,268.1,295.19,298.32,265.21,27.09,10.1,15256900
4,2026-05-22,HPE,Hewlett Packard Enterprise,,USA,Disponible,34.65,37.58,37.745,34.5,2.93,8.46,30707000
5,2026-05-22,F,Ford Motor,,USA,Disponible,13.79,14.93,14.95,13.77,1.14,8.27,109613500
6,2026-05-22,SMCI,Super Micro Computer,US86800U1043,USA,Disponible,33.8,35.58,35.94,33.68,1.78,5.27,39371100
7,2026-05-22,NXPI,NXP Semiconductors,,USA,Disponible,300.8,316.47,316.81,300.62,15.67,5.21,2948500
8,2026-05-22,IFX.DE,Infineon,DE0006231004,Germany,Disponible,69.95,73.42,73.83,69.71,3.47,4.96,6540322
9,2026-05-22,TTD,The Trade Desk,,USA,Disponible,21.35,22.38,22.508,21.31,1.03,4.82,16278500
10,2026-05-22,ON,ON Semiconductor,,USA,Disponible,110.86,116.2,117.89,110.83,5.34,4.82,8492600
1,2026-05-21,ENPH,Enphase Energy,,USA,Disponible,52.87,62.34,63.28,52.86,9.47,17.91,18276500
3,2026-05-21,STX,Seagate Technology,,USA,Disponible,753.47,810.46,811.51,753.47,56.9901,7.56,3476800
4,2026-05-21,ANET,Arista Networks,,USA,Disponible,139.3,148.59,148.99,139.125,9.29,6.67,11602300
5,2026-05-21,SIRI,Sirius XM,,USA,Disponible,27.49,28.99,29.24,27.32,1.5,5.46,8234900
6,2026-05-21,QCOM,Qualcomm,US7475251036,USA,Disponible,202.78,213.41,214.01,197.6,10.63,5.24,28101000
7,2026-05-21,FSLR,First Solar,,USA,Disponible,237.2,248.88,257.0,236.75,11.68,4.92,4293500
8,2026-05-21,UAL,United Airlines,,USA,Disponible,95.43,99.64,100.28,95.3,4.21,4.41,6967000
9,2026-05-21,TGT,Target,,USA,Disponible,120.83,126.15,126.52,117.81,5.32,4.4,9952100
10,2026-05-21,LUV,Southwest Airlines,,USA,Disponible,39.08,40.78,40.91,38.81,1.7,4.35,8050000
1,2026-05-20,GLEN.L,Glencore,,United Kingdom,Disponible,478.1,566.7,569.2,478.1,88.6,18.53,2280297
1,2026-05-20,ENPH,Enphase Energy,,USA,Disponible,47.92,53.15,53.72,46.4,5.23,10.91,11265800
2,2026-05-20,AZN.L,AstraZeneca,GB0009895292,United Kingdom,Disponible,11798.0,13816.0,13822.0,11798.0,2018.0,17.1,138782
2,2026-05-20,UAL,United Airlines,,USA,Disponible,90.0,98.02,98.63,89.24,8.02,8.91,9035800
3,2026-05-20,ULVR.L,Unilever,GB00B10RZP78,United Kingdom,Disponible,3648.5,4249.0,4935.5,3648.5,600.5,16.46,584375
3,2026-05-20,CCL,Carnival,,USA,Disponible,24.0,26.03,26.34,23.45,2.03,8.46,49156000
4,2026-05-20,BA.L,BAE Systems,,United Kingdom,Disponible,1655.0,1897.3431,1905.5,1655.0,242.3431,14.64,362632
4,2026-05-20,DAL,Delta Air Lines,,USA,Disponible,68.65,74.12,74.95,68.16,5.47,7.97,11941100
5,2026-05-20,SMCI,Super Micro Computer,US86800U1043,USA,Disponible,31.09,33.46,33.96,30.87,2.37,7.62,38027700
6,2026-05-20,OKTA,Okta,,USA,Disponible,83.76,89.04,89.21,83.35,5.28,6.3,2969400
7,2026-05-20,TOL,Toll Brothers,,USA,Disponible,128.54,136.31,136.41,126.55,7.77,6.04,1942800
8,2026-05-20,CRWD,CrowdStrike,US22788C1053,USA,Disponible,614.3,650.11,651.0,614.064,35.81,5.83,4376400
9,2026-05-20,LULU,Lululemon Athletica,,USA,Disponible,118.53,125.19,125.31,116.63,6.66,5.62,3349800
10,2026-05-20,LUV,Southwest Airlines,,USA,Disponible,37.67,39.7,40.09,37.44,2.03,5.39,7901600
1,2026-05-19,LSEG.L,London Stock Exchange Group,,United Kingdom,Disponible,8196.0,9454.0,9454.0,8196.0,1258.0,15.35,323056
5,2026-05-19,WLN.PA,Worldline,,France,Disponible,0.296,0.3165,0.319,0.2958,0.0205,6.93,17181218
5,2026-05-19,MU,Micron Technology,US5951121038,USA,Disponible,665.58,698.74,725.95,652.21,33.16,4.98,61450300
6,2026-05-19,TGT,Target,,USA,Disponible,122.78,127.24,127.49,120.25,4.46,3.63,10527100
7,2026-05-19,HD,Home Depot,US4370761029,USA,Disponible,291.87,302.44,303.19,289.1,10.57,3.62,8682700
8,2026-05-19,INTC,Intel,US4581401001,USA,Disponible,106.98,110.8,113.07,102.4,3.82,3.57,149436900
9,2026-05-19,CAP.PA,Capgemini,,France,Disponible,100.85,106.15,106.5,100.8,5.3,5.26,207860
9,2026-05-19,TXN,Texas Instruments,US8825081040,USA,Disponible,292.61,302.31,305.5,291.95,9.7,3.31,7295000
10,2026-05-19,IDR.MC,Indra Sistemas,,Spain,Disponible,49.05,51.62,52.84,48.9,2.57,5.24,662393
10,2026-05-19,LLY,Eli Lilly,US5324571083,USA,Disponible,989.51,1021.41,1021.8,984.6,31.9,3.22,3792500
2,2026-05-18,RBLX,Roblox,,USA,Disponible,42.82,46.98,47.6,42.65,4.16,9.72,16117500
3,2026-05-18,GOOGL,Alphabet,US02079K3059,USA,,395.84,401.08,408.61,394.53,5.24,1.32,15628971
3,2026-05-18,FICO,Fair Isaac,,USA,Disponible,1094.21,1181.8199,1185.16,1094.21,87.61,8.01,429200
4,2026-05-18,MSFT,Microsoft,US5949181045,USA,,416.102,419.79,424.16,415.61,3.688,0.89,14901186
4,2026-05-18,LYFT,Lyft,,USA,,12.85,13.615,13.69,12.8413,0.765,5.95,11739013
4,2026-05-18,CTSH,Cognizant Technology Solutions,,USA,Disponible,47.96,51.4,51.5,47.31,3.44,7.17,15303400
5,2026-05-18,PLTR,Palantir,US69608A1088,USA,,132.5076,133.2,135.935,131.33,0.6924,0.52,18809215
5,2026-05-18,NFLX,Netflix,US64110L1061,USA,,86.402,89.68,89.815,86.33,3.278,3.79,20922013
5,2026-05-18,WLN.PA,Worldline,,France,Pendiente validar,0.2766,0.2928,0.2949,0.268,0.0162,5.86,25158622
6,2026-05-18,AMZN,Amazon,US0231351067,USA,,263.865,264.6753,268.85,262.53,0.8103,0.31,19749816
6,2026-05-18,CRM,Salesforce,US79466L3024,USA,,172.89,178.895,180.78,171.8,6.005,3.47,7914342
6,2026-05-18,TTD,The Trade Desk,,USA,Disponible,20.99,22.27,22.578,20.99,1.28,6.1,20444400
7,2026-05-18,META,Meta Platforms,US30303M1027,USA,,609.225,609.43,612.22,603.69,0.205,0.03,7061026
7,2026-05-18,ADYEN.AS,Adyen,NL0012969182,Netherlands,,880.0,909.3,919.0,875.6,29.3,3.33,86461
7,2026-05-18,ACN,Accenture,,USA,Disponible,167.75,177.55,177.55,165.87,9.8,5.84,5363900
8,2026-05-18,SHOP,Shopify,CA82509L1076,USA,,99.125,102.405,102.52,98.7,3.28,3.31,4705132
8,2026-05-18,PUB.PA,Publicis Groupe,,France,Pendiente validar,77.42,81.74,81.74,77.4,4.32,5.58,1112071
8,2026-05-18,MDB,MongoDB,,USA,Disponible,311.91,330.0,339.97,309.4,18.09,5.8,2689000
9,2026-05-18,INTU,Intuit,US4612021034,USA,,391.5,404.33,407.76,387.52,12.83,3.28,1232546
9,2026-05-18,WPP.L,WPP,,United Kingdom,Pendiente validar,260.5,274.8,276.1,259.7,14.3,5.49,4121877
9,2026-05-18,CRWD,CrowdStrike,US22788C1053,USA,Disponible,589.495,618.83,621.05,587.37,29.335,4.98,4692500
10,2026-05-18,AIR.PA,Airbus,NL0000235190,France,,165.5,170.38,172.14,164.74,4.88,2.95,1305197
10,2026-05-18,NOW,ServiceNow,US81762P1021,USA,,98.86,103.9131,103.94,97.85,5.0531,5.11,33470280
10,2026-05-18,DTE.DE,Deutsche Telekom,DE0005557508,Germany,Pendiente validar,27.39,28.79,28.79,27.31,1.4,5.11,7083781
10,2026-05-18,SNOW,Snowflake,US8334451098,USA,Disponible,156.7,164.24,165.28,155.19,7.54,4.81,10712200
1,2026-05-15,SHOP,Shopify,CA82509L1076,USA,,97.5,100.28,101.45,96.0,2.78,2.85,15842200
2,2026-05-15,MSFT,Microsoft,US5949181045,USA,,414.27,421.92,428.17,412.91,7.65,1.85,50310800
3,2026-05-15,UBER,Uber,US90353T1007,USA,,74.31,75.09,75.565,73.63,0.78,1.05,16234200
4,2026-05-15,PLTR,Palantir,US69608A1088,USA,,132.8,133.99,135.64,132.29,1.19,0.9,32344600
5,2026-05-15,AAPL,Apple,US0378331005,USA,,297.9,300.23,303.2,296.52,2.33,0.78,54721100
6,2026-05-15,AMZN,Amazon,US0231351067,USA,,262.5,264.14,264.36,260.89,1.64,0.62,40672200
7,2026-05-15,GOOGL,Alphabet,US02079K3059,USA,,396.32,396.78,399.54,393.18,0.46,0.12,20205600
8,2026-05-15,META,Meta Platforms,US30303M1027,USA,,613.99,614.23,621.2,609.31,0.24,0.04,13208700
1,2026-05-13,GOOGL,Alphabet,US02079K3059,USA,,385.37,400.75,401.0,385.011,15.38,3.99,13515921
2,2026-05-13,TSLA,Tesla,US88160R1014,USA,,436.68,449.26,453.4,430.21,12.58,2.88,44132235
3,2026-05-13,META,Meta Platforms,US30303M1027,USA,,598.81,614.57,614.6765,596.6601,15.76,2.63,7163526
4,2026-05-13,AMZN,Amazon,US0231351067,USA,,264.45,270.145,270.1699,263.2,5.695,2.15,17689849
5,2026-05-13,AAPL,Apple,US0378331005,USA,,293.63,299.215,299.42,293.56,5.585,1.9,22176570
6,2026-05-13,NFLX,Netflix,US64110L1061,USA,,86.48,87.815,87.825,86.28,1.335,1.54,13408230
7,2026-05-13,NVDA,Nvidia,US67066G1040,USA,,224.93,226.975,227.84,221.5653,2.045,0.91,91874298
8,2026-05-13,MSFT,Microsoft,US5949181045,USA,,402.97,405.608,406.31,401.03,2.638,0.65,12489751
